#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
29,00000013 2fa7d5c0,"     IMAD R15, R7, c[0x0][0x194], R0 ",12,12,0,327680,327680,,,,,,,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,00000013 2fa7d5d0,"     MUFU.RSQ R16, R6 ",13,82,17,327680,327680,,,,,,,0,2,0,0,0,0,0,0,0,0,0,13,15,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
31,00000013 2fa7d5e0,"     MOV R11, 0x2 ",13,76,26,327680,327680,,,,,,,0,1,0,0,0,0,0,0,0,0,0,3,13,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
32,00000013 2fa7d5f0,"     IMAD R10, R15, c[0x0][0x198], R12 ",14,17,0,327680,327680,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,00000013 2fa7d600,"     IMAD.WIDE R8, R10, R11, c[0x0][0x168] ",16,86,31,327680,327680,,,,,,,0,5,0,0,0,11,0,0,0,3,0,8,12,5,0,0,42,0,1,0,0,0,8,0,0,0,1,0,0,0,3,0,0,18
34,00000013 2fa7d610,"     IMAD.WIDE R10, R10, R11, c[0x0][0x160] ",14,78,23,327680,327680,,,,,,,0,13,0,0,0,0,0,0,0,0,0,11,11,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
35,00000013 2fa7d620,"     LDG.E.U16.CONSTANT.SYS R8, [R8] ",13,150,50,327680,327680,Global,Load,16,327680,,327680,0,3,0,0,0,0,0,0,0,0,0,11,14,0,0,0,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
36,00000013 2fa7d630,"     LDG.E.U16.CONSTANT.SYS R10, [R10] ",14,75,29,327680,327680,Global,Load,16,327680,,327680,0,4,0,0,1,0,0,0,1,0,0,6,11,0,0,0,52,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26
37,00000013 2fa7d640,"     IADD3 R12, R12, c[0x0][0x0], RZ ",14,9,0,327680,327680,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,00000013 2fa7d650,"     ISETP.GE.AND P0, PT, R12, c[0x0][0x198], PT ",14,58,10,327680,327680,,,,,,,0,3,0,0,0,0,2,0,0,0,0,10,13,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
39,00000013 2fa7d660,"     HADD2.F32 R13, R8.H0_H0, -RZ.H0_H0 ",15,4573,3148,327680,327680,,,,,,,0,2,0,0,0,4541,1,0,0,1,0,16,12,0,0,0,0,0,0,0,0,0,3147,0,0,0,1,0,0,0,0,0,0,0
40,00000013 2fa7d670,"     HADD2.F32 R6, R10.H0_H0, -RZ.H0_H0 ",15,156,90,327680,327680,,,,,,,0,1,0,0,0,120,0,0,0,1,0,6,16,0,0,0,12,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,6
41,00000013 2fa7d680,"     FADD.FTZ R13, -R18, R13 ",14,98,30,327680,327680,,,,,,,0,6,0,0,0,0,0,0,0,0,0,14,11,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
42,00000013 2fa7d690,"     FMUL.FTZ R13, R16, R13 ",14,62,23,327680,327680,,,,,,,0,3,0,0,0,0,0,0,0,0,0,9,11,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
