#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,Memory L2 Transactions Local,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
209,00000013 2fa94500,"     SHF.R.S32.HI R14, RZ, 0x1f, R17 ",,18,14,128000,4096000,,,,,,,,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,0,0,0
210,00000013 2fa94510,"     BMOV.32.CLEAR RZ, B1 ",,2,0,128000,4096000,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,00000013 2fa94520,"     BSSY B1, 0x132fa94730 ",,4,0,128000,4096000,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,00000013 2fa94530,"     LEA.HI R14, R14, R17, RZ, 0x8 ",,10,1,128000,4096000,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,00000013 2fa94540,"     LOP3.LUT R16, R14, 0xffffff00, RZ, 0xc0, !PT ",,12,5,128000,4096000,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
214,00000013 2fa94550,"     SHF.R.S32.HI R18, RZ, 0x8, R14 ",,6,2,128000,4096000,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
215,00000013 2fa94560,"     IMAD.IADD R16, R17, 0x1, -R16 ",,19,6,128000,4096000,,,,,,,,0,0,0,0,0,0,3,0,0,0,0,6,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
216,00000013 2fa94570,"     IMAD R14, R18, 0x10, R13 ",,5,0,128000,4096000,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,00000013 2fa94580,"     SHF.R.S32.HI R15, RZ, 0x1f, R16 ",,18,6,128000,4096000,,,,,,,,0,0,0,0,0,0,4,0,0,0,1,4,2,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
218,00000013 2fa94590,"     LEA.HI R15, R15, R16, RZ, 0x4 ",,16,5,128000,4096000,,,,,,,,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
